method: GET | url: /lectures/get/5 | Date: 1736850552966 
method: GET | url: /lectures/get/4 | Date: 1736850564889 
method: POST | url: /lectures/add | Date: 1736850577008 
method: DELETE | url: /lectures/delete/6 | Date: 1736850585966 
method: GET | url: /get/4 | Date: 1736850918648 
method: GET | url: /get/4 | Date: 1736850918831 
method: GET | url: /get/4 | Date: 1736850919040 
method: GET | url: /get/4 | Date: 1736850919231 
method: GET | url: /get/4 | Date: 1736850919409 
method: GET | url: /get/4 | Date: 1736850919601 
method: GET | url: /get/4 | Date: 1736850919790 
method: GET | url: /get/4 | Date: 1736850919951 
method: GET | url: /get/4 | Date: 1736850920145 
method: GET | url: /get/4 | Date: 1736850920323 
method: GET | url: /get/4 | Date: 1736850920521 
method: GET | url: /get/4 | Date: 1736850920676 
method: GET | url: /get/4 | Date: 1736850920850 
method: POST | url: /add | Date: 1736850977280 
